Journal Name,Publisher,ISSN,Impact Factor (2013),Quartile Rank,Category,Country (ISO 3166-1 alpha-2),Has Wikipedia Page?
Journal of the International AIDS Society,International AIDS Society,1758-2652,4.207,1,IMMUNOLOGY,CH,yes
Frontiers in Neuroanatomy,Frontiers Media,1662-5129,4.176,1,ANATOMY & MORPHOLOGY,CH,no
Environmental Research Letters,Institute of Physics (IoP),1748-9326,4.09,1,METEOROLOGY & ATMOSPHERI,UK,yes
Journal of Nanobiotechnology,BioMed Central,1477-3155,4.078,1,BIOTECHNOLOGY & APPLIED MI,UK,no
BMC Genomics,BioMed Central,1471-2164,4.041,1,BIOTECHNOLOGY & APPLIED MI,UK,no
Biology Direct,BioMed Central,1745-6150,4.035,1,BIOLOGY,UK,yes
Journal of Translational Medicine,BioMed Central,1479-5876,3.991,1,"MEDICINE, RESEARCH & EXPERI",UK,yes
BMC Plant Biology,BioMed Central,1471-2229,3.942,1,PLANT SCIENCES,UK,no
Frontiers in Microbiology,Frontiers Media,1664-302X,3.941,1,MICROBIOLOGY,CH,no
Journal of Statistical Software,"University of California, Los Angeles",1548-7660,3.801,1,STATISTICS & PROBABILITY,US,yes
Tellus B,Co-Action Publishing,0280-6509,3.76,1,METEOROLOGY & ATMOSPHERI,SE,yes
Biogeosciences,Copernicus Publications,1726-4170,3.753,1,ECOLOGY,DE,no
Genetics Selection Evolution,BioMed Central,0999-193X,3.747,1,"AGRICULTURE, DAIRY & ANIMAL ,  UK",UK,no
Journal of Cellular and Molecular Medicine,Wiley,1582-4934,3.698,1,"MEDICINE, RESEARCH & EXPERI",UK,yes
International Journal of Behavioral Nutrition,BioMed Central,1479-5868,3.675,1,NUTRITION & DIETETICS,UK,no
New Journal of Physics,Institute of Physics (IoP) and Deutsch,1367-2630,3.671,1,"PHYSICS, MULITDISCIPLINARY",UK,yes
Hydrology and Earth System Sciences,Copernicus Publications,1027-5606,3.642,1,WATER RESOURCES,DE,no
Frontiers in Plant Science,Frontiers Media,1664-462X,3.637,1,PLANT SCIENCES,CH,no
ALTEX : Alternatives to Animal Experimentati,Springer,1868-596X,3.63,1,"MEDICINE, RESEARCH & EXPERI",CH,no
Deutsches Ärzteblatt International,Deutscher Ärzte-Verlag,1866-0452,3.608,1,"MEDICINE, GENERAL & INTERNA  , ",DE,yes
Cellular Physiology and Biochemistry,Karger,1015-8987,3.55,1,PHYSIOLOGY,CH,no
PLoS ONE,Public Library of Science (PLoS),1932-6203,3.534,1,MULITDISCIPLINARY SCIENCES,US,yes
Optics Express,Optical Society of America (OSA),1094-4087,3.525,1,OPTICS,US,yes
Marine Drugs,MDPI AG,1660-3397,3.512,1,"CHEMISTRY, MEDICINAL",CH,yes
Climate of the Past,Copernicus Publications,1814-9324,3.482,1,"GEOSCIENCES, MULITDISCIPLINARY",DE,no
Implementation Science,BioMed Central,1748-5908,3.47,1,HEALTH CARE SCIENCES,UK,no
Veterinary Research,BioMed Central,0928-4249,3.383,1,VETERINARY SCIENCES,UK,no
Cleveland Clinic Journal of Medicine,The Cleveland Clinic Educational Fou,0891-1150,3.37,1,MEDICINE,US,no
Nutrition & Metabolism,BioMed Central,1743-7075,3.355,1,NUTRITION & DIETETICS,UK,no
Health Reports,Statistics Canada,0840-6529,3.314,1,"PUBLIC, ENVIRONMENTAL",CA,no
Oceanography,The Oceanography Society (TOS),1042-8275,3.285,1,OCEANOGRAPHY,US,yes
Parasites & Vectors,BioMed Central,1756-3305,3.251,1,PARASITOLOGY,UK,yes
Atmospheric Measurement Techniques,Copernicus Publications,1867-1381,3.206,1,METEOROLOGY & ATMOSPHERI,DE,no
eXPRESS Polymer Letters,Budapest University of Technology,1788-618X,2.953,1,POLYMER SCIENCE,HU,no
Optical Materials Express,Optical Society of America,2159-3930,2.923,1,"MATERIALS SCIENCE, MULTIDISC ,,",US,no
Journal of Epidemiology,Japan Epidemiological Association,0917-5040,2.862,1,"PUBLIC, ENVIRONMENTAL ",JP,yes
Hematology online (ASH),American Society of Hematology,1520-4391,2.857,1,"EDUCATION, SCIENTIFIC DISCIPLI, ",US,no
BMC Systems Biology,BioMed Central,1752-0509,2.853,1,MATHEMATICAL & COMPUTATI,UK,no
Journal of Machine Learning Research,Microtome Publishing,1532-4435,2.853,1,AUTOMATION & CONTROL SYST,US,yes
